train_loss,train_acc,epoch,step,dev_loss,dev_acchaha
0.7032499313354492,0.8125,0,49,,
0.5278269648551941,0.75,0,99,,
0.27821940183639526,0.9375,0,149,,
0.2687632441520691,0.96875,0,199,,
0.42587459087371826,0.875,0,249,,
0.5239002704620361,0.90625,0,299,,
0.23865634202957153,0.96875,0,349,,
0.4483792781829834,0.875,0,399,,
0.624336838722229,0.78125,0,449,,
0.15474821627140045,0.96875,0,499,,
0.19318705797195435,0.96875,0,549,,
0.23870433866977692,0.9375,0,599,,
0.49128246307373047,0.8125,0,649,,
0.22875423729419708,0.96875,0,699,,
0.3404318690299988,0.90625,0,749,,
0.37642720341682434,0.9375,0,799,,
0.1393156200647354,1.0,0,849,,
0.24850119650363922,0.90625,0,899,,
0.21376800537109375,0.90625,0,949,,
0.1969318687915802,0.90625,0,999,,
0.15327021479606628,0.96875,0,1049,,
0.1704772710800171,0.9375,0,1099,,
0.4038394093513489,0.90625,0,1149,,
0.5311340689659119,0.9375,0,1199,,
0.30672115087509155,0.90625,0,1249,,
0.34582164883613586,0.9375,0,1299,,
0.21758010983467102,0.96875,0,1349,,
0.15231910347938538,0.96875,0,1399,,
0.5738353133201599,0.9375,0,1449,,
0.22789716720581055,0.875,0,1499,,
,,0,1499,0.29965299367904663,0.9162499904632568
0.35231804847717285,0.84375,1,1549,,
0.19141541421413422,0.9375,1,1599,,
0.5392282605171204,0.84375,1,1649,,
0.49704647064208984,0.875,1,1699,,
0.16881157457828522,0.96875,1,1749,,
0.46014830470085144,0.90625,1,1799,,
0.1307457685470581,0.96875,1,1849,,
0.10540057718753815,0.96875,1,1899,,
0.12520740926265717,0.9375,1,1949,,
0.20838038623332977,0.96875,1,1999,,
0.2582351267337799,0.875,1,2049,,
0.2361263781785965,0.96875,1,2099,,
0.4177488684654236,0.90625,1,2149,,
0.1363217681646347,0.9375,1,2199,,
0.1499876081943512,0.9375,1,2249,,
0.5390451550483704,0.78125,1,2299,,
