train_loss,train_acc,epoch,step,dev_loss,dev_acc_haha
0.7735453844070435,0.75,0,49,,
0.6184499859809875,0.75,0,99,,
0.5249882340431213,0.84375,0,149,,
0.21791040897369385,0.96875,0,199,,
0.4155798852443695,0.84375,0,249,,
0.3973309099674225,0.90625,0,299,,
0.4465518891811371,0.9375,0,349,,
0.33182159066200256,0.96875,0,399,,
0.3212953507900238,0.875,0,449,,
0.6131554841995239,0.875,0,499,,
0.21416549384593964,0.9375,0,549,,
0.5234992504119873,0.75,0,599,,
0.13958370685577393,0.96875,0,649,,
0.42994749546051025,0.84375,0,699,,
0.3541465103626251,0.90625,0,749,,
0.24079574644565582,0.9375,0,799,,
0.39446285367012024,0.8125,0,849,,
0.09961593896150589,1.0,0,899,,
0.5361641645431519,0.84375,0,949,,
0.3041765093803406,0.875,0,999,,
0.2736637592315674,0.875,0,1049,,
0.3400036692619324,0.90625,0,1099,,
0.5379427075386047,0.8125,0,1149,,
0.4355505406856537,0.875,0,1199,,
0.35927751660346985,0.84375,0,1249,,
0.10929757356643677,0.96875,0,1299,,
0.15148797631263733,0.96875,0,1349,,
0.1421668976545334,0.96875,0,1399,,
0.2576841413974762,0.96875,0,1449,,
0.5422159433364868,0.875,0,1499,,
,,0,1499,0.30935537815093994,0.909416675567627
0.49348926544189453,0.90625,1,1549,,
0.19568577408790588,0.9375,1,1599,,
0.20476020872592926,0.875,1,1649,,
0.5495550632476807,0.90625,1,1699,,
0.1570233255624771,0.9375,1,1749,,
0.24739256501197815,0.90625,1,1799,,
0.5081539154052734,0.875,1,1849,,
0.251990407705307,0.90625,1,1899,,
0.25832757353782654,0.84375,1,1949,,
0.4330380856990814,0.8125,1,1999,,
0.2829791307449341,0.9375,1,2049,,
0.17794731259346008,0.90625,1,2099,,
0.3036330044269562,0.9375,1,2149,,
0.0814279168844223,0.96875,1,2199,,
0.4579907953739166,0.90625,1,2249,,
0.14705483615398407,0.96875,1,2299,,
0.15124185383319855,0.9375,1,2349,,
0.36088472604751587,0.90625,1,2399,,
0.08624562621116638,1.0,1,2449,,
0.3744094967842102,0.9375,1,2499,,
0.2743901014328003,0.9375,1,2549,,
0.19554661214351654,0.9375,1,2599,,
0.4377380609512329,0.90625,1,2649,,
0.20181764662265778,0.90625,1,2699,,
0.35546594858169556,0.84375,1,2749,,
0.2746390700340271,0.90625,1,2799,,
0.1790805459022522,0.96875,1,2849,,
0.3218327462673187,0.90625,1,2899,,
0.480885773897171,0.875,1,2949,,
0.3166677951812744,0.875,1,2999,,
,,1,2999,0.30774882435798645,0.9152500033378601
0.3292992115020752,0.84375,2,3049,,
0.3979036211967468,0.84375,2,3099,,
0.23703312873840332,0.875,2,3149,,
0.08555587381124496,0.96875,2,3199,,
0.3170875906944275,0.90625,2,3249,,
0.22936150431632996,0.90625,2,3299,,
0.15067678689956665,0.9375,2,3349,,
0.5122755765914917,0.9375,2,3399,,
0.6796656847000122,0.875,2,3449,,
0.34814804792404175,0.90625,2,3499,,
0.37924131751060486,0.875,2,3549,,
